Requisito,Tipo,Historia de Usuario,Estado,Prioridad,Estimacion,Responsable,Puntos,Tiempo,Sprint,Dependencia,Regla de negocio,Criterios de Aceptacion,Criterios de Rechazo
RF-08,F,"Como usuario, quiero consultar un resumen agregado de la contratación filtrado por departamento, año y modalidad para obtener métricas rápidas del gasto público.",Por hacer,Alta,Media,Steven,4,4 horas,Sprint 2,RF-06,"El endpoint GET /api/resumen?departamento=X&modalidad=Y&ano=Z debe calcular total_dinero (SUM), total (COUNT) y valor promedio usando agregados en base de datos con el ORM. Debe incluir el tiempo de procesamiento de la base de datos en la respuesta. El payload debe ser menor a 50KB.","1. DADO que el usuario consulta el resumen con parámetros de departamento, año y modalidad, CUANDO ejecuta la consulta, ENTONCES el sistema devuelve total_dinero (suma), total (conteo) y valor promedio | 2. El sistema debe calcular los valores agregados en la base de datos mediante agregación (SUM, COUNT) y no en el cliente | 3. El sistema debe incluir en la respuesta el tiempo de procesamiento de la base de datos en la consulta | 4. DADO que una consulta no tiene filtros, CUANDO se ejecuta, ENTONCES devuelve el agregado global | 5. DADO que el usuario envía un parámetro numérico no válido para el año, CUANDO ejecuta la consulta, ENTONCES el sistema responde HTTP 400","1. La respuesta supera los 50KB de payload para un conjunto grande de datos sin agregar en base de datos | 2. El sistema no incluye el tiempo de procesamiento de la base de datos en la respuesta | 3. El sistema calcula los totales trayendo todas las filas al cliente en lugar de agregar en base de datos | 4. El sistema devuelve datos sin aplicar los filtros de departamento, año o modalidad solicitados"
RF-09,F,"Como usuario, quiero consultar el top de contratistas por monto contratado para identificar los mayores receptores de contratación en un territorio.",Por hacer,Alta,Media,Steven,4,4 horas,Sprint 2,RF-08,"El endpoint GET /api/top-contratistas debe agrupar por contratista_nit con GROUP BY, ordenado descendente por SUM(valor_contrato), limitando a 10 resultados. Debe devolver contratista_nit, contratista_nombre y total_contratado.","1. DADO que el usuario consulta el top de contratistas, CUANDO se ejecuta la consulta, ENTONCES el sistema devuelve los 10 contratistas con mayor monto contratado agrupados por contratista_nit | 2. El sistema debe agrupar por contratista_nit con GROUP BY y ordenar descendente por la suma del monto contratado | 3. Cada resultado del top debe incluir contratista_nit, contratista_nombre y total_contratado | 4. DADO que hay menos de 10 contratistas con contratos, CUANDO se consulta, ENTONCES el sistema devuelve solo los que existen sin error | 5. DADO que el usuario filtra por departamento, CUANDO consulta el top, ENTONCES el ranking se calcula dentro de ese territorio","1. El sistema devuelve más de 10 contratistas en el top sin aplicar el límite | 2. El ranking no está ordenado por monto contratado, mostrando los contratistas en orden arbitrario | 3. El sistema no devuelve el total_contratado o el contratista_nit en los resultados | 4. El ranking se calcula globalmente ignorando el filtro de departamento solicitado"
RF-10,F,"Como usuario, quiero ver el detalle completo de un contrato individual para auditar su información específica.",Por hacer,Alta,Baja,Steven,2,2 horas,Sprint 2,RF-11,El endpoint GET /api/contratos/{id}/ debe devolver las 15 columnas del modelo del contrato. Ante un id inexistente debe responder HTTP 404 con mensaje de detalle. Debe requerir autenticación con JWT válido.,"1. DADO que el usuario consulta un contrato existente, CUANDO solicita su detalle, ENTONCES el sistema devuelve las 15 columnas completas del registro | 2. DADO que el usuario consulta un contrato inexistente, CUANDO solicita su detalle, ENTONCES el sistema responde HTTP 404 con mensaje de detalle | 3. DADO que el usuario no está autenticado, CUANDO solicita el detalle, ENTONCES el sistema responde HTTP 401 por falta de token válido | 4. DADO que el usuario no está autenticado, CUANDO solicita el detalle sin token, ENTONCES el sistema responde HTTP 401 e incluye el header WWW-Authenticate con la descripción del esquema de autenticación",1. El sistema devuelve un subconjunto de columnas omitiendo campos requeridos del contrato | 2. El sistema responde HTTP 404 sin mensaje de detalle para un contrato inexistente | 3. El sistema permite acceder al detalle sin autenticación válida | 4. El sistema responde el detalle de otro contrato distinto al id solicitado por error de ruteo
RF-11,F,"Como usuario, quiero consultar la lista de contratos paginada para navegar por los registros sin cargar todos a la vez.",Por hacer,Alta,Media,Steven,4,4 horas,Sprint 2,RF-08,"El endpoint GET /api/contratos?page=N debe devolver un máximo de 50 registros por página con metadatos next, previous, count y total_pages. Si page está fuera de rango debe responder HTTP 400. Los registros deben devolverse agregados, nunca el dataset completo.","1. DADO que el usuario solicita la lista de contratos con un número de página, CUANDO ejecuta la consulta, ENTONCES el sistema devuelve máximo 50 registros más los metadatos next, previous, count y total_pages | 2. DADO que el usuario solicita una página fuera de rango, CUANDO ejecuta la consulta, ENTONCES el sistema responde HTTP 400 | 3. El sistema debe devolver solo el lote solicitado de registros paginados, no el dataset completo | 4. DADO que la lista está vacía para los filtros aplicados, CUANDO se consulta, ENTONCES el sistema devuelve count=0 y lista vacía sin error",1. El sistema devuelve todos los registros de una vez ignorando la paginación | 2. El metadato total_pages es incorrecto respecto al total de registros | 3. El sistema acepta un número de página fuera de rango y devuelve una página en blanco sin advertir | 4. La paginación no devuelve la página siguiente (next) o anterior (previous) correctamente
RNF-03,NF,"Como sistema, debo ejecutar las consultas agregadas en la base de datos en lugar del cliente para garantizar tiempos de respuesta aceptables.",Por hacer,Alta,Media,Steven,1,1 hora,Sprint 2,RF-08,Las métricas SUM/COUNT/GROUP BY deben ejecutarse con operaciones de agregación de Django en PostgreSQL. Las consultas sobre columnas indexadas deben responder en menos de 500 milisegundos. El payload de un resumen debe ser menor a 50KB.,"1. El sistema debe ejecutar las operaciones de suma, conteo y agrupación mediante agregación de Django en PostgreSQL, nunca en el cliente | 2. DADO que se consulta sobre columnas indexadas (departamento, modalidad, fecha_firma, nit), CUANDO se ejecuta la consulta, ENTONCES la respuesta es menor a 500 milisegundos | 3. El sistema debe devolver un payload menor a 50KB para las consultas de resumen agregado aun con grandes volúmenes de datos | 4. DADO que se repite la misma consulta agregada, CUANDO se ejecuta, ENTONCES se mantiene dentro del límite de tiempo definido",1. Una consulta agregada sobre columnas indexadas tarda más de 500 milisegundos | 2. El payload del resumen supera los 50KB para un conjunto grande de filas | 3. El sistema calcula los agregados en el cliente trayendo todas las filas desde la base de datos | 4. El tiempo de respuesta varía de forma inconsistente sin que agregar en base de datos lo estabilice
RNF-04,NF,"Como sistema, debo validar la calidad de los datos durante la ingesta para evitar registros corruptos en la base de datos.",Por hacer,Alta,Media,Steven,1,1 hora,Sprint 2,RF-06,"Durante la transformación, valor_contrato debe convertirse de texto a Decimal descartando los que no sean numéricos. Las filas inválidas deben registrarse en un log sin abortar toda la ingesta. Los registros con duplicados por id_contrato deben omitirse sin duplicar la carga.","1. Durante la transformación de ingesta, el sistema debe convertir valor_contrato de texto a valor numérico descartando los registros que no sean numéricos | 2. El sistema debe registrar las filas inválidas en un log sin abortar toda la ingesta por errores parciales | 3. El sistema debe omitir los registros duplicados por id_contrato evitando cargar filas duplicadas | 4. DADO que una fila tiene un campo faltante requerido, CUANDO se procesa, ENTONCES la fila se registra como inválida y el proceso continúa",1. El sistema aborta toda la ingesta ante el primer registro inválido | 2. Un registro con valor_contrato no numérico se inserta en la base de datos sin corrección | 3. El sistema inserta registros duplicados con el mismo id_contrato | 4. Las filas inválidas se descartan silenciosamente sin registrarse en el log
RNF-05,NF,"Como sistema, debo reanudar una ingesta interrumpida desde el último offset procesado para evitar pérdida o duplicación de registros.",Por hacer,Media,Media,Steven,1,1 hora,Sprint 2,RF-07,"El procesamiento debe persistir el último $offset exitoso en el ProcessingJob. Al reanudar un trabajo en estado failed, el offset continúa desde el valor guardado. El sistema debe rechazar un offset fuera de rango con HTTP 400.","1. El sistema debe persistir el último desplazamiento procesado exitosamente en el job de ingesta | 2. DADO que una ingesta falla y se reanuda, CUANDO continúa, ENTONCES retoma desde el último desplazamiento guardado sin repetir ni saltar registros | 3. DADO que el usuario solicita un desplazamiento fuera de rango, CUANDO se reanuda, ENTONCES el sistema responde HTTP 400",1. La ingesta reanudada vuelve a procesar desde el inicio duplicando registros | 2. El sistema reanuda saltándose registros porque el último desplazamiento guardado es incorrecto | 3. El sistema acepta un desplazamiento fuera de rango y continúa sin advertir | 4. El sistema no guarda el desplazamiento y en un reinicio pierde el punto de continuidad
RNF-06,NF,"Como sistema, debo limitar la cantidad de peticiones al API para proteger el servicio de abusos y sobrecarga.",Por hacer,Media,Media,Steven,1.5,1.5 horas,Sprint 2,RF-08,Se debe implementar límite de peticiones usando Django Rest Framework throttling. El límite debe ser de 60 peticiones por minuto por usuario para endpoints de consulta. Al superar el límite debe responder HTTP 429 con el tiempo de espera en segundos.,"1. El sistema debe limitar la cantidad de peticiones de los endpoints de consulta usando un mecanismo de throttling del framework | 2. DADO que un usuario excede el límite de 60 peticiones por minuto, CUANDO continúa consultando, ENTONCES el sistema responde HTTP 429 con el tiempo de espera en segundos | 3. DADO que el usuario está dentro del límite, CUANDO consulta, ENTONCES el sistema responde normalmente sin error de límite",1. El sistema permite más de 60 peticiones por minuto sin bloquear al usuario | 2. El sistema responde error de límite (429) sin indicar el tiempo de espera restante | 3. El sistema bloquea por límite pero el contador no se reinicia pasada la ventana de tiempo | 4. El límite de peticiones se aplica por igual a consultas livianas y pesadas sin distinción de carga
RNF-13,NF,"Como sistema, debo ser escalable para soportar el crecimiento del volumen de datos sin necesidad de rediseñar la arquitectura.",Por hacer,Media,Media,Steven,2.5,2.5 horas,Sprint 2,RF-06,La arquitectura de ingesta debe soportar la paginación hasta millones de filas reutilizando el mismo patrón de límite y desplazamiento. El modelo de datos debe permitir agregar columnas mediante nuevas migraciones sin afectar los datos existentes.,"1. La arquitectura de ingesta debe soportar la paginación hasta millones de filas reutilizando el mismo patrón de límite y desplazamiento | 2. El modelo de datos debe permitir agregar nuevas columnas mediante migraciones sin afectar los datos existentes | 3. DADO que el volumen de datos crece, CUANDO se ejecuta la ingesta, ENTONCES el mismo mecanismo de paginación soporta el aumento sin rediseñar la arquitectura",1. La ingesta no soporta paginar más allá de un pequeño número de bloques | 2. Agregar una columna al modelo requiere borrar los datos existentes | 3. El mecanismo de paginación falla al aumentar el número de registros a ingestar | 4. El diseño no permite crecer el volumen sin un rediseño de la arquitectura
RF-12,F,"Como usuario, quiero ver un dashboard con indicadores clave del gasto público para tener una visión general de la contratación.",Por hacer,Alta,Alta,Yesid,6.5,6.5 horas,Sprint 3,RF-08,"El dashboard debe mostrar KPIs de total de dinero, total de contratos y valor promedio, más una tabla virtualizada de contratos que renderice solo las filas visibles usando virtualización de react. El estado del dashboard debe sincronizarse con la caché de datos del cliente.","1. El sistema debe mostrar en el dashboard los indicadores clave: total de dinero, total de contratos y valor promedio | 2. El sistema debe renderizar una tabla virtualizada que solo muestre las filas visibles en pantalla y mantenga la fluidez | 3. DADO que el usuario consulta el dashboard con filtros, CUANDO cambia un filtro, ENTONCES los KPIs se recalculan y actualizan | 4. El sistema debe sincronizar el estado del dashboard con la caché de datos del cliente para evitar consultas duplicadas",1. Los KPIs muestran valores desactualizados respecto a los datos aplicando los filtros actuales | 2. La tabla carga todas las filas al DOM y el dashboard se vuelve lento o no responde a 60 cuadros | 3. Al cambiar un filtro los indicadores no se actualizan | 4. La caché provoca que se muestren datos viejos de un filtro anterior
RF-13,F,"Como usuario, quiero filtrar la tabla de contratos por departamento, modalidad y rango de fechas para explorar el conjunto de datos de forma dirigida.",Por hacer,Alta,Media,Yesid,1,1 hora,Sprint 3,RF-12,"Los filtros deben ser combinables entre sí y re-disparar la consulta del API. Al aplicar un filtro, la tabla debe refrescar los datos y mostrar una indicación de carga. Los filtros deben persistir al navegar entre vistas del dashboard.","1. DADO que el usuario aplica filtros de departamento, modalidad y rango de fechas, CUANDO combina varios filtros, ENTONCES la tabla se actualiza según la combinación | 2. El sistema debe re-disparar la consulta del API al cambiar cualquier filtro | 3. El sistema debe mostrar una indicación de carga mientras se aplican los filtros | 4. DADO que el usuario navega entre vistas del dashboard, CUANDO vuelve, ENTONCES los filtros aplicados se mantienen persistentes",1. Al combinar departamento y modalidad solo se aplica uno de los filtros | 2. La tabla no muestra ningún indicador de que está cargando los nuevos datos filtrados | 3. El sistema pierde los filtros aplicados al navegar entre vistas | 4. Los filtros devuelven resultados pero la tabla conserva datos de la consulta anterior
RF-14,F,"Como usuario, quiero ver la serie mensual de contratación para observar la tendencia del gasto a lo largo del tiempo.",Por hacer,Media,Media,Yesid,3,3 horas,Sprint 3,RF-12,El endpoint GET /api/serie-mensual debe agrupar por periodo mensual con DATE_TRUNC y devolver suma de valor_contrato y conteo de contratos ordenados cronológicamente. Debe renderizarse en un gráfico de línea.,"1. El sistema debe devolver la suma de valor_contrato y el conteo de contratos agrupados por periodo mensual, ordenados cronológicamente | 2. DADO que existen contratos en varios meses consecutivos, CUANDO se consulta la serie, ENTONCES se devuelven todos los periodos con sus valores | 3. DADO que no hay contrato en un mes, CUANDO se consulta, ENTONCES ese mes se omite o se devuelve con valor 0 sin romper la serie | 4. El sistema debe renderizar la serie en un gráfico de línea para visualizar la tendencia",1. La serie devuelve meses fuera de orden cronológico | 2. Los valores mensuales no coinciden con la sumatoria de los contratos de ese mes | 3. El gráfico de línea se muestra vacío o sin datos aun cuando existen registros | 4. El sistema devuelve una serie con fechas duplicadas o con formato inconsistente
RF-15,F,"Como usuario, quiero ver un mapa de Colombia que pinte los territorios según el porcentaje de contratación directa para detectar zonas con posible contratación a dedo.",Por hacer,Alta,Alta,Yesid,6.5,6.5 horas,Sprint 3,RF-12,Se debe usar la librería de mapas Leaflet. Los territorios se colorean con escala continua donde el rojo oscuro indica alto porcentaje de contratación directa frente a la licitación pública. El mapa debe cargar la geografía del país procesada desde formato compacto para reducir el payload.,"1. El sistema debe renderizar un mapa interactivo de Colombia usando la librería Leaflet | 2. El sistema debe colorear los territorios con una escala continua de color donde el rojo oscuro representa un alto porcentaje de contratación directa frente a licitación pública | 3. El sistema debe cargar la geografía del país desde un formato compacto para reducir el tamaño del dato enviado | 4. DADO que el usuario pasa el cursor sobre un territorio, CUANDO consulta, ENTONCES el mapa muestra un tooltip con el monto y el porcentaje","1. El mapa carga pero los territorios no se pintan con los colores de la escala, todos se ven iguales | 2. El mapa no muestra el color rojo en los territorios con alto porcentaje de contratación directa | 3. El mapa tarda demasiado en cargar porque la geografía llega sin comprimir | 4. El tooltip no muestra el porcentaje ni el monto del territorio señalado"
RF-16,F,"Como usuario, quiero seleccionar un territorio del mapa para actualizar todos los indicadores del dashboard a ese territorio y profundizar su análisis.",Por hacer,Media,Media,Yesid,3.5,3.5 horas,Sprint 3,RF-15,"Al seleccionar un territorio, el filtro global debe actualizarse y re-consultar los KPIs, gráficos y tabla. El territorio seleccionado debe resaltarse visualmente en el mapa y el filtro debe combinarse con los demás filtros activos.","1. DADO que el usuario hace clic en un territorio del mapa, CUANDO lo selecciona, ENTONCES el filtro global se actualiza a ese territorio | 2. DADO que se selecciona un territorio, CUANDO se actualizan los indicadores, ENTONCES los KPIs, gráficos y tabla se recomputan con ese territorio | 3. El sistema debe resaltar visualmente el territorio seleccionado en el mapa | 4. DADO que hay otros filtros activos, CUANDO se selecciona un territorio, ENTONCES el filtro se combina con los demás sin sustituirlos","1. Al hacer clic en un territorio el mapa cambia de color pero los datos del dashboard no se actualizan | 2. El territorio seleccionado no se resalta, no se distingue del resto | 3. Seleccionar un territorio reemplaza o borra los demás filtros activos | 4. Los KPIs muestran datos globales en lugar de los del territorio seleccionado"
